dividend_dividend_yield,0.02204
dividend_dividend_yield_future,0.0293
dividend_dividend_volatility,1
dividend_dividend_paying_years,10
dividend_payout_ratio,0.80797
dividend_payout_ratio_3y,0.65268
dividend_historical_dividend_yield_date,1630281600,1629244800,1613433600,1597190400,1581465600,1565740800,1550016000,1534291200,1517270400,1502841600,1486944000,1471392000,1439856000,1424995200,1408492800,1392768000,1380067200,1377043200,1362009600,1347926400,1345075200,1329436800,1313971200
dividend_historical_dividend_yield,0.02204,0.02209,0.02058,0.02981,0.03846,0.02337,0.02297,0.0213,0.01702,0.01733,0.0207,0.02203,0.01696,0.02439,0.02731,0.02982,0.02873,0.02771,0.0231,0.02627,0.02967,0.02797,0.01643
dividend_historical_dividend_payments_date,1630281600,1629244800,1613433600,1597190400,1581465600,1565740800,1550016000,1534291200,1517270400,1502841600,1486944000,1471392000,1439856000,1424995200,1408492800,1392768000,1380067200,1377043200,1362009600,1347926400,1345075200,1329436800,1313971200
dividend_historical_dividend_payments,0.28,0.28,0.23,0.28,0.4,0.4,0.36,0.34,0.3,0.26,0.26,0.24,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.12,0.06
dividend_merged_future_dividends_per_share_date,1719705600,1688083200,1656547200,1630281600
dividend_merged_future_dividends_per_share,0.42255,0.36223,0.29408,0.28
dividend_merged_future_yield_date,1719705600,1688083200,1656547200,1630281600
dividend_merged_future_yield,0.03327,0.02852,0.02316,0.02205
dividend_upcoming_dividend,1633046400,1630540800,0.13,0.13,1630454400,3453148800,9,1,AUD
dividend_dividend_yield_growth_annual,-0.00641
dividend_first_payment,0.06
dividend_last_payment,0.28
dividend_industry_analysis
dividend_buyback_yield,-0.0001
dividend_total_shareholder_yield,0.02194
dividend_payout_ratio_median_3yr,0.70753
dividend_dividend_payments_growth_annual,0.11432
dividend_dividend_payments_single_growth_1y,0
dividend_dividend_payments_single_growth_3y,-0.12544
dividend_dividend_payments_single_growth_5y,0.39811
dividend_dividend_payments_ltm,0.23
dividend_payout_ratio_history_date,1625011200,1617148800,1609372800,1601424000,1593475200,1585612800,1577750400,1569801600,1561852800,1553990400,1546214400,1538265600,1530316800,1522454400,1514678400,1506729600,1498780800,1490918400,1483142400,1475193600,1467244800,1459382400,1451520000,1443571200,1435622400,1427760000,1419984000,1412035200
dividend_payout_ratio_history,0.80797,0.90823,0.97338,0.85214,0.82139,0.75047,0.70753,0.68785,0.66829,0.66003,0.65127,0.64813,0.64448,0.6436,0.64209,0.67399,0.71185,0.72253,0.73399,0.76927,0.82365,0.93786,1.15716,1.17397,1.19604,-2.04852,-0.51816,-0.63853
future_return_on_equity_1y,0.09209
future_return_on_equity_3y,0.12227
future_earnings_per_share_growth_1y,0.32471
future_earnings_per_share_growth_3y,0.91617
future_earnings_per_share_1y,0.45907
future_earnings_per_share_2y,0.57119
future_earnings_per_share_3y,0.66404
future_revenue_growth_1y,-0.06642
future_revenue_growth_2y,0.00886
future_revenue_growth_3y,0.11603
future_revenue_1y,2505.6254
future_revenue_2y,2707.68008
future_revenue_3y,2995.31197
future_cash_ops_growth_1y,-0.14119
future_cash_ops_growth_2y,0.01597
future_cash_ops_growth_3y,0.20707
future_cash_ops_1y,405.1
future_cash_ops_2y,479.23333
future_cash_ops_3y,569.37304
future_net_income_growth_1y,0.26019
future_net_income_growth_2y,0.63178
future_net_income_growth_3y,0.85489
future_net_income_1y,315.04776
future_net_income_2y,407.94416
future_net_income_3y,463.72218
future_minimum_earnings_growth,0.0192
future_merged_future_earnings_per_share_date,1719705600,1688083200,1656547200,1625011200
future_merged_future_earnings_per_share,0.66429,0.57119,0.45907,0.34655
future_merged_future_earnings_per_share_high_date,1719705600,1688083200,1656547200,1625011200
future_merged_future_earnings_per_share_high,0.76,0.63,0.5,0.34655
future_merged_future_earnings_per_share_low_date,1719705600,1688083200,1656547200,1625011200
future_merged_future_earnings_per_share_low,0.59,0.529,0.4,0.34655
future_merged_future_revenue_date,1719705600,1688083200,1656547200,1625011200
future_merged_future_revenue,2996.1,2707.68008,2505.6254,2683.9
future_merged_future_cash_operations_date,1719705600,1688083200,1656547200,1625011200
future_merged_future_cash_operations,569.62,479.23333,405.1,471.7
future_merged_future_net_income_date,1719705600,1688083200,1656547200,1625011200
future_merged_future_net_income,463.875,407.94416,315.04776,250
future_earnings_per_share_growth_annual,0.18125
future_revenue_growth_annual,0.05645
future_cash_ops_growth_annual,0.10283
future_net_income_growth_annual,0.18283
future_industry_analysis
future_merged_future_ebitda_date,1719705.6,1688083.2,1656547.2,1625011.2
future_merged_future_ebitda,867.81238,783.40387,685.77823,575.8
future_ebitda_1y,685.77823
future_ebitda_growth_1y,0.191
future_forward_pe_1y,27.66462
future_forward_price_to_sales_1y,3.58673
future_forward_ev_to_ebitda_1y,14.68522
future_forward_ev_to_sales_1y,4.01927
future_gross_profit_margin_1y,0.4085
future_net_income_margin_1y,0.12573
future_merged_future_revenue_high_date,1719705.6,1688083.2,1656547.2,1625011.2
future_merged_future_revenue_high,3519,3100,2658,2683.9
future_merged_future_revenue_low_date,1719705.6,1688083.2,1656547.2,1625011.2
future_merged_future_revenue_low,2751.8,2448.4,2344.9,2683.9
future_merged_future_net_income_high_date,1719705.6,1688083.2,1656547.2,1625011.2
future_merged_future_net_income_high,548,453,360.87944,250
future_merged_future_net_income_low_date,1719705.6,1688083.2,1656547.2,1625011.2
future_merged_future_net_income_low,406.5,378.5,268,250
future_next_earnings_release,
health_net_income,250
health_net_interest_expense,-73.5
health_cash_operating,471.7
health_total_assets,6284.2
health_ppe,1804.7
health_inventory,839.7
health_cash_st_investments,448.1
health_receivables,585
health_current_assets,2057.3
health_total_equity,3591.2
health_total_debt,915.2
health_long_term_debt,915.2
health_long_term_liab,1814.5
health_accounts_payable,322.1
health_total_current_liab,878.5
health_total_liab_equity,6284.2
health_total_debt_equity,25.484
health_total_inventory,839.7
health_debt_to_equity_ratio,0.25484
health_debt_to_equity_ratio_past,0.17791
health_assets_equity_ratio,1.74988
health_fixed_to_total_assets,0.4208
health_current_assets_to_total_debt,2.24792
health_operating_cash_flow_to_total_debt,0.5154
health_net_interest_cover,6.55918
health_current_solvency_ratio,2.34183
health_current_assets_to_long_term_liab,1.13381
health_operating_expenses,537.9
health_operating_expenses_total_date,1625011200,1617148800,1609372800,1601424000,1593475200,1585612800,1577750400,1569801600,1561852800,1553990400,1546214400,1538265600,1530316800,1522454400,1514678400,1506729600,1498780800,1490918400,1483142400,1475193600,1467244800
health_operating_expenses_total,537.9,556.45,552.9,567.9,605,590.2,575.4,569.95,564.5,562.1,559.7,535.05,510.4,505.8,501.2,508.75,516.3,515.1,513.9,506.95,500
health_operating_expenses_growth_annual,
health_operating_expenses_stable_years,
health_operating_expenses_growth_years,
health_median_2yr_net_income,250
health_industry_analysis
health_capex,-109.9
health_capex_growth_1y,0.19546
health_capex_growth_annual,-0.04658
health_net_debt,467.1
health_management_rate_return,0.18625
health_book_value_per_share,4.96933
health_levered_free_cash_flow,350.5
health_levered_free_cash_flow_1y,222.3
health_levered_free_cash_flow_2y,302.60326
health_levered_free_cash_flow_history_date,1625011200,1617148800,1609372800,1601424000,1593475200,1585612800,1577750400,1569801600,1561852800,1553990400,1546214400,1538265600,1530316800,1522454400,1514678400,1506729600,1498780800,1483142400,1475193600,1467244800,1451520000,1443571200,1435622400
health_levered_free_cash_flow_history,350.5,358.9,367.3,294.8,222.3,308.5,394.7,348.4,302.1,151.25,0.4,40,79.6,89.8,100,136.05,172.1,308.3,295.65,283,248.9,166.95,85
health_levered_free_cash_growth_annual,
health_levered_free_cash_flow_growth_annual,0.12484
health_levered_free_cash_flow_growth_years,
health_levered_free_cash_flow_stable_years,
health_cash_from_investing,-59.4
health_net_debt_to_ebitda,0.81121
health_capitalisation_percent,0.11184
health_capitalisation_percent_1y,0.11184
health_cash_operating_growth_1y,0.28564
health_cash_from_investing_1y,-66.7
health_inventory_growth_1y,-0.17466
health_net_operating_assets,4469.4
health_net_operating_assets_1y,4286.5
health_aggregate_accruals,62.1
health_accounts_receivable_growth_1y,0.13858
health_accounts_receivable_percent,0.21796
health_long_term_assets,4226.9
health_last_balance_sheet_update,1625011200
health_total_debt_history_date,1625011200,1617148800,1609372800,1601424000,1593475200,1585612800,1577750400,1569801600,1561852800,1553990400,1546214400,1538265600,1530316800,1522454400,1514678400,1506729600,1498780800,1490918400,1483142400,1475193600,1467244800,1459382400,1451520000,1443571200,1435622400,1427760000,1419984000,1412035200
health_total_debt_history,915.2,915.2,903.4,903.4,1227,1227,1082.5,1082.5,1090,1090,1050.5,1050.5,802.9,802.9,699.1,699.1,600.5,600.5,640.2,640.2,635.1,635.1,670.9,670.9,337.6,337.6,322.4,322.4
health_current_portion_lease_liabilities,53.1
health_long_term_portion_lease_liabilities,559.5
health_total_lease_liabilities,612.6
health_restricted_cash,
health_restricted_cash_ratio,
health_levered_free_cash_flow_break_even_years,
health_net_operating_assets_ltm_history_offset,0,-1,-2,-3
health_net_operating_assets_ltm_history,4058.3,4374,4330.96849,4212.79239
health_aggregate_accruals_ltm_history_offset,0,-1,-2,-3
health_aggregate_accruals_ltm_history,-100.5,23.1,105.88587,281.27282
health_accrual_ratio_from_cashflow_ltm_history_offset,0,-1,-2
health_accrual_ratio_from_cashflow_ltm_history,-0.02383,0.0053,0.02478
health_total_assets_ltm_history_offset,0,-1,-2,-3,-4,-5
health_total_assets_ltm_history,6284.2,6644.7,6639.55109,5450.175,5278.36196,5287.14022
health_total_current_liab_ltm_history_offset,0,-1,-2,-3,-4,-5
health_total_current_liab_ltm_history,878.5,983,926.82283,809.76304,779.54891,761.44565
management_management_tenure,1.58333
management_board_tenure,4.75
management_management_age,
management_board_age,58
management_insider_buying_ratio,1
management_total_shares_bought,32194441
management_total_shares_sold,12981507
management_total_employees,2600
management_ceo_compensation_date,1625011200,1593475200,1561852800
management_ceo_compensation,3180598,1568401,1012246
management_ceo_salary_growth_1y,1.02792
management_industry_analysis
management_ceo_salary_growth_annual,0.56403
management_ceo_compensation_total,3180598
management_ceo_compensation_salary,1478306
management_ceo_compensation_salary_usd,1078268.41721
management_ceo_compensation_total_usd,2319911.01386
management_ceo_compensation_salary_history_date,1625011200,1593475200,1561852800
management_ceo_compensation_salary_history,1478306,778997,338602
management_ceo_salary_fraction,0.46479
management_total_board_members_count,9
management_independent_board_members_count,8
management_independent_board_members_ratio,0.88889
misc_min_price,11.05
misc_max_price,13.2
